OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,Shape__Are,Shape__Len,American_F,Centroid_L,Centroid_1,TIGER_Land,TIGER_Wate,Population,Populati_1,Median_Household Income,Median_Age,Percent_18,Age_Depend,Old_Age_De,Child_Depe,Percent_Ve,Percent_Ho,Median_Mon,Percent_w_,Percent_25,F2012_2016,F2007_2011,State Name,Latitude,Longitude,Arthritis Prevalence Percent,Arthritis Prevalence MOE,Asthma Prevalence Percent,Asthma Prevalence MOE,Asthma Mortality per 1MM,Asthma Mortality MOE,Coronary Mortality per 100K,Coronary Mortality MOE,Heart Fail Mortality per 100K,Heart Fail Mortality MOE,Stroke Mortality per 100K,Stroke Mortality MOE,Kidney Mortality per 100K,Kidney Mortality MOE,Kidney Prevalence Percent,Kidney Prevalence MOE,Chronic_liver_disease_mortality,Chronic Liver Disease_MOE,COPD Prevalence Percent,COPD Prevalence MOE,COPD Mortality per 100K,COPD Mortality MOE,Diabetes Prevalence Percent,Diabetes Prevalence MOE,Diabetes Mortality per 100K,Diabetes Mortality MOE,No Tooth Loss Percent,No Tooth Loss MOE
31,1,31,31,42,1779798,0400000US42,42,PA,Pennsylvania,0,1.16E+11,3397554419,2.05E+11,2099762.443,0400000US42,40.8738297,-77.7995569,44742,1312,12783977,285.7,54895,40.6,78.8,60.9,26.8,34,8.3,69,929,92,17.8,25.7,26.5,Pennsylvania,40.7937,-77.8607,26.8,1.2,10.7,1,9.9,1.6,101.8,1.5,87.7,1.4,36.7,0.9,59.1,1.2,2.4,0.7,8.1,0.4,6.1,0.5,204.1,3.7,9.7,0.6,64.7,1.3,63.3,1.8
32,1,32,32,50,1779802,0400000US50,50,VT,Vermont,0,23873457570,1031134839,48269939622,1248961.726,0400000US50,44.07518689,-72.66264813,9218,398,626249,67.9,56104,42.6,80.6,57.2,26.7,30.5,8.4,70.6,1074,94.7,21.7,21.7,22.7,Vermont,43.6254,-72.5176,24.5,1.2,10.4,1,12,2.4,99.6,6.9,85.4,6.4,31.7,3.9,46.1,4.7,2.4,1.7,7.9,1.8,5.6,0.6,283.9,19.7,7,0.6,91.4,6.7,66.8,1.9
33,1,33,33,44,1219835,0400000US44,44,RI,Rhode Island,0,2677997539,1323452846,5106150996,765894.1751,0400000US44,41.67607286,-71.55361134,1034,511,1054491,1019.8,58387,39.9,79.9,56.1,24.6,31.4,7.5,59.7,1150,92,19.4,23.1,24.4,Rhode Island,41.7083,-71.5225,24.2,1.3,10.5,1.1,14.7,3.3,110.4,5.5,97.5,5.2,25.6,2.7,54.7,3.9,2.3,-0.6,9.1,1.7,5.2,0.6,239.2,14,8.4,0.7,70.6,4.7,64.6,2.2
34,1,34,34,38,1779797,0400000US38,38,ND,North Dakota,0,1.79E+11,4400396641,4.00E+11,3082377.319,0400000US38,47.44633076,-100.4693109,69000,1699,736162,10.7,59114,35.2,77.2,58.8,22.6,36.2,8.8,63.5,747,91.4,20.5,16.3,17.3,North Dakota,47.4753,-100.1184,22.4,1.2,9.1,1,,,89.1,6.3,97.4,6.4,35.5,4,61.1,5.2,2.1,1.5,7.7,1.9,4.4,0.6,223.3,17.1,8.1,0.8,65,5.4,64.5,1.8
35,1,35,35,56,1779807,0400000US56,56,WY,Wyoming,0,2.51E+11,1860628076,4.74E+11,2776935.119,0400000US56,42.99963539,-107.551443,97091,718,583029,6,59143,36.8,76.2,60.4,22.2,38.2,10.7,68.6,846,87.2,17.2,18.6,18.1,Wyoming,43.2355,-108.1098,25,1.6,9.6,1.4,,,88.6,7.4,87.9,7.4,30.2,4.3,54.4,5.9,2.7,2.7,14.5,3,6.4,0.8,287.6,22.8,7.8,0.9,59.1,6.2,63.7,2.6
36,1,36,36,17,1779784,0400000US17,17,IL,Illinois,0,1.44E+11,6211277447,2.50E+11,2731985.358,0400000US17,40.06503346,-89.19839073,55515,2398,12851684,231.5,59196,37.4,76.7,59.1,22.1,37,6.5,66,1060,90.3,20.2,28.1,28.5,Illinois,40.485,-88.9977,23.1,1.2,8.8,1,12.2,1.8,94.1,1.6,82.8,1.5,37.4,1,54.1,1.2,2.6,1.8,9.2,0.5,5.6,0.8,197.7,3.9,9.4,0.9,58.2,1.3,66.1,1.9
37,1,37,37,36,1779796,0400000US36,36,NY,New York,0,1.22E+11,19247151848,2.37E+11,3852336.212,0400000US36,42.94038149,-75.5031162,47123,7431,19697457,418,60741,38.2,78.5,56.6,23,33.6,5.1,53.6,1249,91.4,19.7,31.4,32.6,New York,42.827,-75.544,21.8,0.7,9.5,0.6,14.3,1.6,124.7,1.4,66.8,1,26.1,0.7,39.3,0.9,1.9,1.3,6.8,0.3,5.4,0.5,152.9,2.7,9.2,0.7,53.9,1,60.5,1.2
38,1,38,38,10,1779781,0400000US10,10,DE,Delaware,0,5047241079,1398670234,8634830432,562217.7242,0400000US10,38.9870086,-75.50040227,1949,540,934695,479.6,61017,39.6,78.2,62.1,26.7,35.4,9.5,70.9,1109,92.5,18.1,24.6,25.7,Delaware,39.0088,-75.5777,23.8,1.6,8.7,1.1,,,105.8,6,77.1,5.2,38.8,3.7,58.7,4.4,3.2,1.4,9.3,1.8,6.1,0.8,214.2,14.4,9.9,1,57.2,4.6,64.5,2.4
39,1,39,39,49,1455989,0400000US49,49,UT,Utah,0,2.13E+11,7000199770,3.68E+11,2557133.313,0400000US49,39.32378886,-111.6782049,82195,2703,2948427,35.9,62518,30.3,69.3,68.7,16.9,51.8,6.4,69.6,1062,88,21,21.4,21.6,Utah,39.3607,-111.5871,21.1,0.8,8.2,0.6,,,69.1,3.4,103.9,4.3,37.9,2.6,55.9,3,2.8,2.2,8.7,1.1,3.8,0.3,145.6,8.4,7.7,0.5,58,3.2,69.6,1.3
40,1,40,40,8,1779779,0400000US08,8,CO,Colorado,0,2.68E+11,1178495763,4.47E+11,2707587.635,0400000US08,38.99854554,-105.5478146,103639,455,5359295,51.7,62520,36.4,76.7,56,19.7,36.3,9.4,64.4,1181,89.1,24.4,24.3,24.9,Colorado,38.8438,-106.1336,22.1,0.7,8.8,0.6,7.8,2.2,71.9,2.3,82.1,2.5,33.4,1.6,44.2,1.8,2.4,1.5,12.7,0.9,3.9,0.4,248.6,7.3,7,0.5,52,2.1,69,1.1
41,1,41,41,53,1779804,0400000US53,53,WA,Washington,0,1.72E+11,12560067439,3.83E+11,6311326.543,0400000US53,47.38096307,-120.4468519,66452,4849,7073146,106.4,62848,37.6,77.3,58,22.2,35.9,10.2,62.4,1197,90.2,21.3,25.5,26.7,Washington,47.5223,-120.47,22.9,0.8,9.6,0.7,,,85.1,2.1,94.3,2.2,34.3,1.3,57.6,1.7,2.6,-0.4,11.1,0.7,5.8,0.6,224.1,5.8,8.2,0.6,70.8,1.9,69.6,1.2
42,1,42,42,27,662849,0400000US27,27,MN,Minnesota,0,2.06E+11,18944967530,4.59E+11,4504261.87,0400000US27,46.31649003,-94.3090306,79625,7315,5450868,68.5,63217,37.8,76.5,60.8,23,37.8,8,71.4,1021,93.9,22.8,22.6,23.2,Minnesota,46.3556,-94.7942,20.6,0.6,7.7,0.5,10.9,2.5,60.8,1.9,90.6,2.3,34,1.5,53.2,1.8,2,0.9,7.9,0.7,4.1,0.3,214.1,6.2,7.5,0.5,76.4,2.2,72,1
43,1,43,43,6,1779778,0400000US06,6,CA,California,0,4.03E+11,20484637928,6.50E+11,5458997.968,0400000US06,37.24606558,-119.6106862,155785,7909,38654206,248.1,63783,36,76.4,57.5,20.3,37.3,5.9,54.1,1443,87.4,20.1,27,28.4,California,37.6386,-121,18.1,0.8,7.7,0.6,10,1,91,1,73.9,0.8,33.9,0.6,51,0.7,2.5,2.1,12,0.4,4.7,0.5,180.9,2.3,9.9,0.7,69.9,1,65.8,1.2
44,1,44,44,51,1779803,0400000US51,51,VA,Virginia,0,1.02E+11,8532012665,1.67E+11,4071009.006,0400000US51,37.51501645,-78.81225171,39480,3294,8310301,210.5,66149,37.8,77.6,56.8,21.6,35.2,11,65.8,1214,89.3,21.2,27.3,28.1,Virginia,37.5427,-78.4579,23.9,1,8.5,0.7,12.6,2.5,84.6,1.9,78,1.9,37,1.3,55.2,1.6,2.4,1.7,8.7,0.6,6.1,0.6,180.7,4.8,9.1,0.7,55.5,1.5,65.4,1.4
45,1,45,45,33,1779794,0400000US33,33,NH,New Hampshire,0,23187445452,1028643155,45995182802,1278211.212,0400000US33,43.68562284,-71.5775933,8953,397,1327503,148.3,68485,42.4,79.9,56.2,24.7,31.4,9.8,70.7,1260,91.6,22.1,26,26.9,New Hampshire,43.656,-71.5004,24.3,1.3,12,1.3,,,85.4,4.5,89.3,4.6,28.9,2.7,53.1,3.6,1.8,1.2,10.1,1.5,5.9,0.7,231.1,12.7,7.9,0.8,61.2,3.8,65.9,2.1
46,1,46,46,25,606926,0400000US25,25,MA,Massachusetts,0,20204287539,7130763257,38818670781,2199726.269,0400000US25,42.25329377,-71.7986386,7801,2753,6742143,864.3,70954,39.4,79.4,55.5,23.5,32.1,6.4,62.1,1389,96.8,23.1,27.5,29,Massachusetts,42.2769,-72.0827,23.2,1.1,10.3,0.9,9.6,2.1,77,1.9,78.1,1.9,28.7,1.1,51.4,1.6,2.9,2.4,8.4,0.7,6.1,0.6,151,4.6,8.9,0.7,42.3,1.4,66.1,1.6
47,1,47,47,9,1779780,0400000US09,9,CT,Connecticut,0,12542619303,1815495323,23157750806,842808.533,0400000US09,41.62027786,-72.72570495,4843,701,3588570,741,71755,40.6,78.4,58.8,24.6,34.2,6.7,66.5,1396,92.9,21.3,24.7,25.7,Connecticut,41.5627,-72.6498,22.6,1,10.6,0.9,8.7,2.7,76,2.6,74.6,2.4,26.3,1.5,47.7,2.1,2.3,1.4,8.5,0.9,4.7,0.6,162.6,6.4,8.1,0.7,43.8,2.1,69.6,1.5
48,1,48,48,15,1779782,0400000US15,15,HI,Hawaii,0,16634117742,11777681513,19133154473,1677969.599,0400000US15,20.25470783,-156.3630184,6422,4547,1413673,220.1,71977,38.5,78.2,61,25.9,35.1,10.1,57.5,1534,94.8,20.7,25.9,27.2,Hawaii,21.3049,-157.8577,20.2,1.1,10.7,1,14.6,5.3,69.6,4,50.9,3.3,34.1,2.7,47.8,3.2,4,2.4,6.9,1.3,3.5,0.5,91.6,7.6,8.9,0.8,51.7,3.5,64.8,1.7
49,1,49,49,11,1702382,0400000US11,11,DC,District of Columbia,0,158351639,18675956,292583314.6,81679.89876,0400000US11,38.90473394,-77.01629384,61,7,659009,10778.8,72935,33.8,82.6,40.5,16,24.4,5.1,40.7,1539,94.8,23.4,29.6,29.9,District of Columbia,38.9072,-77.0369,18.8,1.1,10.1,1.2,,,128.6,9,51.9,5.8,33.6,4.6,44.4,5.3,2.5,0.4,7.7,2.1,5.7,1,118,14.8,9.1,1.1,74.4,7.1,66.7,2
50,1,50,50,34,1779795,0400000US34,34,NJ,New Jersey,0,19049723313,3542963551,34568144210,1114402.928,0400000US34,40.18441923,-74.66075249,7355,1368,8915456,1212.1,73702,39.5,77.5,59.4,23.5,35.9,5.4,64.1,1517,89.3,23.1,30.1,31.2,New Jersey,40.1306,-74.2737,20.7,1.2,8.2,1,10.9,2.1,100.5,1.9,72,1.6,31.4,1.1,52.9,1.4,2.2,0.1,7.5,0.6,5.1,0.5,164.3,4.2,8.7,0.6,56.9,1.5,62.8,2
51,1,51,51,2,1785533,0400000US02,2,AK,Alaska,0,1.48E+12,2.78E+11,8.21E+12,82193750.46,0400000US02,64.21754588,-152.221179,570883,107229,736855,1.3,74444,33.6,74.5,53.5,14.4,39.1,12.8,63.7,1273,83.1,18.4,18.2,18.9,Alaska,64.8451,-147.7221,24.4,2.4,9,1.6,,,81.1,8,87.5,9,32.3,5.3,49.2,6.5,2.1,-0.2,10.7,2.3,4.3,0.7,211.8,22.5,7.7,1,59.3,7,64.7,3.2
52,1,52,52,24,1714934,0400000US24,24,MD,Maryland,0,25150696145,6980371026,44233054892,3581304.027,0400000US24,39.03691447,-76.77245239,9711,2695,5959902,613.7,76067,38.3,77.4,57.2,21.6,35.5,8.6,66.5,1440,91.9,20.7,31.7,32.4,Maryland,39.2906,-76.6093,22.6,0.8,9.5,0.7,13.6,2.8,99.1,2.5,57.5,1.8,38,1.6,49.7,1.7,2.8,2.1,6.9,0.6,5.4,0.6,168.4,5.4,9.3,0.7,61.9,2,64.8,1.3
